acd_name,state,openalex_id,openalex_display_name,last_known_institution,works_count,ambiguity_flags,total_score,confidence,flag_reason
Dr Ritu  Gupta,NSW,,,Chandigarh University,451,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH|INSTITUTION_MISMATCH|SUSPICIOUS_VOLUME,82,NOT_FOUND,works_count=451 but name not exact match
Dr Wenyuan  Liu,VIC,,,China Pharmaceutical University,397,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH|INSTITUTION_MISMATCH|HIGH_PUBLICATION_COUNT|SUSPICIOUS_VOLUME,85,NOT_FOUND,works_count=397 but name not exact match
