institution_name
alfred hospital
austin health
barwon health
box hill hospital
brisbane private hospital
cairns hospital
canberra hospital
children's hospital at westmead
children's hospital westmead
chris o'brien lifehouse
concord repatriation general hospital
darwin hospital
epworth healthcare
flinders medical centre
footscray hospital
frankston hospital
fremantle hospital
gold coast hospital
gold coast university hospital
gosford hospital
greenslopes private hospital
john hunter hospital
launceston general hospital
liverpool hospital
mater hospital
mater private hospital
mater public hospital
mercy hospital
monash health
monash medical centre
mount hospital
nepean hospital
nambour general hospital
northern hospital
peter maccallum cancer centre
princess alexandra hospital
prince of wales hospital
queen elizabeth hospital
queensland children's hospital
royal adelaide hospital
royal brisbane and women's hospital
royal children's hospital
royal darwin hospital
royal hobart hospital
royal melbourne hospital
royal north shore hospital
royal perth hospital
royal prince alfred hospital
royal women's hospital
st george hospital
st vincent's hospital
st vincent's private hospital
st john of god hospital
sir charles gairdner hospital
skin and cancer foundation
skin cancer foundation
skin hospital
skin hospital darlinghurst
skin hospital westmead
sunshine coast university hospital
sunshine hospital
sydney hospital
sydney skin
the alfred
the canberra hospital
the children's hospital
the skin hospital
townsville hospital
university hospital geelong
waikato hospital
westmead hospital
westmead private hospital
westmead skin cancer centre
auckland city hospital
auckland district health board
christchurch hospital
counties manukau health
dunedin hospital
hutt valley district health board
middlemore hospital
nelson hospital
northland district health board
palmerston north hospital
southern district health board
taranaki base hospital
waikato district health board
waitemata district health board
wellington hospital
australasian college of dermatologists
skin cancer college australasia
melanoma institute australia
melanoma research alliance
national skin cancer centres
skin cancer clinic
sydney melanoma unit
victorian melanoma service
qskin sun and health study
dermatology research centre
skin research centre
university of sydney dermatology
university of melbourne dermatology
university of queensland dermatology
monash university dermatology
university of western australia dermatology
university of adelaide dermatology
unsw dermatology
flinders university dermatology
james cook university dermatology
university of otago dermatology
university of auckland dermatology
